,0
2636,0
4501,0
5100,0
4961,0
4378,0
1268,0
1779,0
3526,0
272,0
4811,0
6384,0
245,0
6219,0
4590,0
2041,0
5058,0
817,0
3825,0
5200,0
1812,0
5438,0
4363,0
2473,0
548,0
742,0
311,0
3536,0
1135,0
6314,0
4126,0
2781,0
924,0
3602,0
3974,0
38,0
4476,0
4295,0
2996,0
6396,0
2679,0
3237,0
1186,0
618,0
1472,0
938,0
2430,0
6188,0
5188,0
4841,0
830,0
1528,0
2943,0
4249,0
4447,0
3868,0
392,0
4362,0
6251,0
4005,0
402,0
5172,0
3373,0
46,0
6317,0
3657,0
3741,0
6223,0
2432,0
1758,0
6197,0
5245,0
4077,0
340,0
1347,0
5861,0
3909,0
3655,0
331,0
3017,0
6124,0
3128,0
6200,0
2332,0
4214,0
3564,0
1464,0
172,0
3584,0
4243,0
5223,0
5276,0
942,0
60,0
1246,0
5351,0
2130,0
153,0
483,0
4477,0
3935,0
1770,0
754,0
1793,0
4518,0
4872,0
2723,0
5174,0
4210,0
1339,0
5700,0
2867,0
187,0
1140,0
5364,0
4140,0
4908,0
4807,0
2879,0
3791,0
1392,0
6058,0
5299,0
3644,0
4816,0
2982,0
5563,0
1716,0
2966,0
456,0
612,0
4280,0
4845,0
5425,0
2084,0
4067,0
5206,0
1630,0
4701,0
5608,0
40,0
2099,0
3939,0
2185,0
74,0
5123,0
6324,0
2669,0
443,0
2061,0
2553,0
1307,0
3445,0
1310,0
237,0
5963,0
2585,0
3294,0
3199,0
3968,0
2780,0
4850,0
4240,0
2691,0
2773,0
4706,0
1393,0
6281,0
5799,0
5019,0
1285,0
5716,0
6284,0
1563,0
5794,0
3203,0
4584,0
4821,0
6011,0
4860,0
3609,0
1928,0
516,0
4194,0
1314,0
918,0
3467,0
3710,0
3169,0
2208,0
4442,0
947,0
826,0
5025,0
4294,0
164,0
4565,0
3998,0
2550,0
6117,0
1317,0
6091,0
5338,0
5948,0
3314,0
3324,0
329,0
2502,0
6004,0
836,0
3092,0
3477,0
5609,0
54,0
3466,0
1909,0
1487,0
4892,0
4914,0
4166,0
3349,0
4945,0
950,0
3307,0
5103,0
3070,0
772,0
6026,0
3510,0
286,0
6334,0
4541,0
5696,0
2342,0
2729,0
2089,0
3403,0
726,0
955,0
5578,0
2272,0
993,0
3225,0
1767,0
5393,0
4439,0
1732,0
5203,0
3716,0
3447,0
4963,0
970,0
6053,0
2213,0
4776,0
5118,0
6205,0
5863,0
4824,0
1999,0
4135,0
4778,0
6207,0
5593,0
4990,0
6073,0
5054,0
3615,0
5848,0
6382,0
387,0
5584,0
5850,0
539,0
5978,0
5052,0
4229,0
202,0
1338,0
3517,0
2720,0
5051,0
4680,0
4036,0
1862,0
2885,0
3043,0
1210,0
1653,0
3431,0
3491,0
2874,0
1800,0
3812,0
3382,0
3381,0
3548,0
5129,0
3464,0
3069,0
5568,0
126,0
3891,0
2948,0
4468,0
3546,0
2742,0
831,0
988,0
3295,0
6373,0
5902,0
2455,0
364,0
2359,0
347,0
4826,0
3218,0
5319,0
6144,0
4121,0
1842,0
6343,0
2686,0
4242,0
3771,0
2904,0
2381,0
5305,0
5673,0
3242,0
6192,0
2866,0
5933,0
2925,0
1873,0
4630,0
1865,0
2657,0
2253,0
2346,0
954,0
1124,0
2609,0
2214,0
421,0
926,0
1260,0
2044,0
6170,0
1979,0
3123,0
4033,0
2161,0
3702,0
4935,0
2006,0
6288,0
3067,0
1254,0
2202,0
2724,0
996,0
2200,0
4688,0
5162,0
3777,0
3612,0
4729,0
1324,0
1871,0
2353,0
2461,0
2146,0
1069,0
4244,0
2633,0
77,0
4839,0
1320,0
5587,0
876,0
3865,0
6132,0
2978,0
3405,0
2572,0
6279,0
2647,0
5277,0
3545,0
377,0
1916,0
4446,0
5537,0
5596,0
4042,0
1612,0
1122,0
3692,0
3505,0
6235,0
2971,0
6354,0
5561,0
2386,0
1348,0
322,0
1627,0
3728,0
5866,0
2070,0
1681,0
261,0
5652,0
2048,0
4804,0
905,0
3759,0
2035,0
4251,0
1925,0
1836,0
1581,0
4432,0
4768,0
5617,0
4672,0
4225,0
4645,0
225,0
727,0
5745,0
1145,0
2774,0
850,0
4306,0
5062,0
2941,0
117,0
649,0
3,0
469,0
5,0
5363,0
4341,0
1067,0
2602,0
243,0
5569,0
1164,0
2883,0
3750,0
2408,0
3532,0
3435,0
2575,0
1613,0
6182,0
2334,0
2721,0
6060,0
1318,0
3463,0
3827,0
5961,0
1984,0
3529,0
1769,0
2751,0
5969,0
2484,0
4022,0
1500,0
4223,0
2168,0
1173,0
5786,0
233,0
66,0
1611,0
3297,0
3611,0
4650,0
125,0
5371,0
1302,0
1985,0
5787,0
5740,0
2085,0
4598,0
6054,0
3099,0
5551,0
3359,0
5720,0
2809,0
922,0
1654,0
5142,0
5146,0
4997,0
366,0
3301,0
2135,0
4139,0
4587,0
528,0
4840,0
55,0
642,0
2778,0
1282,0
4738,0
2065,0
5397,0
5165,0
4449,0
3659,0
4159,0
2891,0
4219,0
5196,0
2271,0
2306,0
1761,0
5218,0
1977,0
6140,0
3130,0
2404,0
526,0
3915,0
5974,0
5998,0
3135,0
1978,0
4205,0
670,0
5543,0
1895,0
3280,0
2960,0
4472,0
903,0
6213,0
764,0
1914,0
3838,0
4154,0
3833,0
4317,0
4181,0
2844,0
5472,0
3487,0
137,0
4911,0
2190,0
2138,0
3190,0
4655,0
5135,0
5579,0
4278,0
4361,0
1337,0
2026,0
4560,0
1364,0
6316,0
2160,0
4548,0
2132,0
4691,0
3996,0
1258,0
3292,0
3388,0
2826,0
4737,0
1856,0
4877,0
3050,0
390,0
236,0
1081,0
1993,0
4380,0
3977,0
774,0
2175,0
4551,0
677,0
250,0
1582,0
3433,0
2091,0
1831,0
5930,0
6131,0
4562,0
5588,0
720,0
5711,0
5981,0
2058,0
5285,0
4828,0
2736,0
5791,0
1466,0
1676,0
2768,0
2009,0
4589,0
4631,0
406,0
5752,0
2162,0
1641,0
5873,0
5603,0
4803,0
5357,0
4175,0
4967,0
5379,0
224,0
2203,0
3149,0
4486,0
1832,0
5888,0
5144,0
4991,0
801,0
2884,0
9,0
1952,0
1846,0
4823,0
256,0
4502,0
5772,0
1589,0
2969,0
928,0
5670,0
2520,0
5044,0
5341,0
3790,0
4854,0
2791,0
542,0
2757,0
5852,0
5490,0
1149,0
5147,0
671,0
3032,0
5083,0
2843,0
2795,0
1359,0
5151,0
472,0
2715,0
3652,0
1402,0
3599,0
5746,0
5283,0
5668,0
3390,0
1262,0
3527,0
5674,0
1256,0
5369,0
6159,0
4315,0
2946,0
4192,0
5289,0
4929,0
1860,0
5995,0
6241,0
2115,0
133,0
5257,0
5049,0
827,0
5821,0
1538,0
1219,0
507,0
4302,0
2005,0
3085,0
1966,0
1390,0
898,0
4943,0
457,0
5938,0
3724,0
5913,0
4868,0
4285,0
3537,0
4150,0
3617,0
717,0
4203,0
2224,0
5322,0
1818,0
3501,0
3154,0
1835,0
1159,0
4329,0
513,0
1688,0
1864,0
1394,0
5638,0
3734,0
2396,0
5564,0
3250,0
1548,0
2693,0
3006,0
5535,0
1196,0
5314,0
1550,0
3338,0
2551,0
957,0
4347,0
736,0
6403,0
5937,0
3308,0
2995,0
5326,0
5182,0
2166,0
1066,0
2628,0
1171,0
3651,0
5611,0
2951,0
4508,0
3153,0
143,0
6350,0
3592,0
4965,0
2794,0
721,0
1827,0
2514,0
4377,0
397,0
6196,0
4509,0
1371,0
5838,0
598,0
3967,0
5413,0
4987,0
2927,0
5667,0
3781,0
3455,0
3866,0
4148,0
5878,0
2153,0
5910,0
5093,0
1579,0
4094,0
1126,0
2798,0
2980,0
2516,0
3480,0
679,0
2820,0
3362,0
732,0
414,0
3159,0
1523,0
5769,0
829,0
3281,0
3989,0
114,0
419,0
3082,0
1633,0
6347,0
4202,0
2909,0
6291,0
2092,0
2558,0
3984,0
3387,0
5750,0
4122,0
2456,0
4397,0
1070,0
3928,0
5308,0
5559,0
5408,0
5756,0
3513,0
2750,0
4015,0
1576,0
2438,0
3761,0
5941,0
1695,0
855,0
3561,0
899,0
4610,0
337,0
2852,0
3100,0
4629,0
1354,0
1019,0
2828,0
1639,0
3745,0
3265,0
5935,0
2080,0
4469,0
5429,0
1643,0
4664,0
2491,0
2275,0
2972,0
5344,0
6059,0
3072,0
5073,0
5894,0
2151,0
3131,0
5209,0
6051,0
4060,0
2756,0
5112,0
3521,0
1687,0
4266,0
3160,0
2304,0
1476,0
4818,0
4085,0
5329,0
3357,0
5011,0
4601,0
562,0
5258,0
5236,0
2862,0
515,0
4747,0
1672,0
1016,0
1939,0
1154,0
2850,0
116,0
744,0
6157,0
5198,0
5931,0
834,0
119,0
4771,0
6121,0
6069,0
6336,0
639,0
4482,0
4158,0
995,0
880,0
4888,0
5243,0
4,0
3064,0
3137,0
2672,0
2503,0
5194,0
3869,0
4796,0
1723,0
1152,0
3275,0
577,0
3784,0
3751,0
857,0
1991,0
2786,0
5944,0
4948,0
5232,0
1170,0
975,0
2713,0
3862,0
2378,0
4130,0
4799,0
4147,0
2963,0
527,0
2467,0
5036,0
1849,0
540,0
2818,0
5826,0
3188,0
788,0
4072,0
1415,0
2549,0
154,0
1694,0
2914,0
6346,0
4739,0
3878,0
2745,0
1903,0
5465,0
572,0
5879,0
1824,0
2075,0
127,0
3408,0
3341,0
6388,0
2988,0
2310,0
191,0
5108,0
703,0
6122,0
609,0
4293,0
302,0
3434,0
6172,0
1064,0
6225,0
2577,0
6399,0
1073,0
2536,0
2215,0
1249,0
16,0
3133,0
6390,0
4773,0
819,0
3080,0
6127,0
5623,0
963,0
4912,0
226,0
3368,0
5920,0
2497,0
565,0
3451,0
1049,0
3461,0
4583,0
958,0
6387,0
2747,0
6289,0
4753,0
6175,0
5534,0
6099,0
1534,0
6327,0
1306,0
6272,0
5723,0
160,0
4082,0
5825,0
960,0
3806,0
3248,0
2882,0
4450,0
4992,0
6040,0
2974,0
6005,0
2210,0
98,0
6234,0
2569,0
3196,0
254,0
4216,0
1451,0
5562,0
1656,0
4700,0
4741,0
4006,0
1704,0
3204,0
4516,0
1158,0
2265,0
1690,0
3183,0
4105,0
6254,0
3121,0
4566,0
3738,0
5445,0
2059,0
4995,0
3658,0
627,0
5908,0
263,0
5754,0
3383,0
4076,0
5557,0
6090,0
6397,0
2395,0
5784,0
1967,0
2989,0
490,0
1851,0
1742,0
2924,0
3233,0
5653,0
1995,0
1375,0
6076,0
2823,0
663,0
1802,0
2523,0
3411,0
4299,0
1151,0
3286,0
611,0
3597,0
198,0
2944,0
2337,0
4406,0
770,0
4513,0
4235,0
3269,0
203,0
3525,0
4950,0
1741,0
5816,0
2789,0
1715,0
5193,0
5270,0
3489,0
5709,0
4755,0
4112,0
702,0
6344,0
3012,0
3711,0
1644,0
3472,0
3596,0
1297,0
4677,0
5639,0
1861,0
3778,0
3318,0
6304,0
5751,0
3758,0
3460,0
2007,0
667,0
4798,0
5374,0
4763,0
5553,0
5598,0
713,0
1288,0
5889,0
5088,0
1312,0
5519,0
5527,0
2247,0
3316,0
5615,0
2047,0
1536,0
1671,0
5473,0
6329,0
6352,0
3642,0
5763,0
5167,0
4910,0
2705,0
1605,0
2741,0
2637,0
5940,0
3170,0
3328,0
1730,0
5300,0
1063,0
4654,0
3256,0
1765,0
4208,0
5136,0
566,0
2802,0
867,0
1490,0
6002,0
5154,0
207,0
4505,0
874,0
4510,0
505,0
1032,0
3855,0
2702,0
5604,0
5076,0
1578,0
2785,0
6016,0
2743,0
6267,0
808,0
5872,0
3660,0
2466,0
4616,0
3117,0
4894,0
5984,0
201,0
3112,0
6209,0
3576,0
5917,0
4491,0
4531,0
5819,0
393,0
5641,0
5279,0
1502,0
2707,0
5269,0
64,0
3899,0
2072,0
5297,0
494,0
381,0
4878,0
4008,0
4906,0
1080,0
882,0
339,0
1020,0
1281,0
3813,0
4569,0
3356,0
4930,0
999,0
4314,0
161,0
5698,0
1507,0
3858,0
5246,0
3476,0
1025,0
3086,0
3958,0
1593,0
1963,0
3165,0
34,0
779,0
2568,0
1484,0
5509,0
6260,0
1369,0
2624,0
2836,0
2050,0
242,0
2071,0
2373,0
603,0
2447,0
5414,0
6189,0
650,0
3905,0
3571,0
3215,0
1535,0
1273,0
1907,0
4676,0
2746,0
190,0
1814,0
979,0
2759,0
2057,0
2570,0
1086,0
476,0
2917,0
4862,0
4132,0
3399,0
4573,0
1189,0
5071,0
5332,0
2444,0
5634,0
2401,0
773,0
1693,0
130,0
3459,0
6256,0
5601,0
4443,0
5355,0
468,0
6290,0
5758,0
3105,0
3787,0
5212,0
5247,0
5411,0
864,0
730,1
3860,1
5281,1
828,1
3415,1
1469,1
6355,1
2644,1
1169,1
4452,1
2435,1
3255,1
6296,1
4514,1
3055,1
632,1
4825,1
6149,1
216,1
3678,1
4220,1
5362,1
1531,1
2068,1
148,1
3377,1
5765,1
3041,1
3193,1
2086,1
2611,1
4634,1
2116,1
4259,1
778,1
4425,1
4079,1
2171,1
5420,1
343,1
4260,1
692,1
2725,1
3587,1
5278,1
3522,1
5725,1
5616,1
606,1
1647,1
2198,1
818,1
3339,1
2126,1
797,1
94,1
3081,1
479,1
1207,1
2638,1
4048,1
6359,1
2911,1
2003,1
2229,1
2563,1
4187,1
923,1
2607,1
2372,1
5422,1
4736,1
5454,1
4639,1
303,1
2296,1
5261,1
4717,1
4173,1
675,1
281,1
1727,1
4057,1
2605,1
3044,1
3594,1
4873,1
2494,1
1335,1
4195,1
386,1
3940,1
4152,1
4983,1
5759,1
4485,1
359,1
3344,1
3298,1
932,1
4767,1
2936,1
1330,1
501,1
5811,1
1222,1
3315,1
4865,1
1160,1
3236,1
4999,1
4188,1
5755,1
2336,1
620,1
757,1
5072,1
2501,1
6259,1
5124,1
3370,1
583,1
3687,1
1085,1
3690,1
4381,1
5336,1
5715,1
4952,1
4162,1
4512,1
5648,1
5619,1
4358,1
3022,1
984,1
1143,1
4660,1
1701,1
1223,1
5275,1
4002,1
3792,1
3938,1
2066,1
6322,1
1810,1
4754,1
146,1
1938,1
5558,1
5782,1
5880,1
858,1
2170,1
5253,1
3763,1
4430,1
2687,1
4044,1
3073,1
1686,1
6044,1
2288,1
2036,1
5486,1
2580,1
1990,1
4817,1
2625,1
4029,1
6335,1
2901,1
3018,1
2932,1
3184,1
