v1,v2
ham,"You have paid P50.00 of GCash to purchase GIGA VIDEO 50 for 09204987398 on 08-13-22 10:42 AM.
 Your GCash balance is P249.28. Ref. No. 369768899."
ham,"It's not too late to claim your FREEBIE of 350MB for surfing valid for 3 days. Simply load a total of P50 by 04/14/2022. #BestTimeWithGlobe Share-A-Load not included. If you've already claimed your freebie, please disregard this message. REF#: DGR65"
ham,Double up the power of your GigaPoints for chances to win MILLIONS in cash prizes WEEKLY! Join GIGA MANIA with a tap on the GigaLife App! smrt.ph/GigaLifeApp
ham,"We're bringing G MUSIC FEST to you! Enjoy world-class performances by Unique Salonga, The Juans, KAIA, and many more right at home on September 17. Join the festival virtually via KUMU at kumu.live/enjoyglobe and donate to Hapag Movement by sending virtual gifts during the stream. #ExtraGDayEveryday"
ham,"Can you feel the love already? We're spending this season with absolutely ZERO convenience fee on bank transfers via InstaPay! Share the joy with your friends and loved ones until Feb. 15, 2021 and transfer money to other banks now! FreeInfoMsg"
ham,Okayyyyy 0.0 baka sa sm ko na bilhin okay lng po ba? 0.0
ham,Pauwi na kami na nakataxiiiiii
ham,"Don't forget! Register now to GO90 for just P90 to get your 8GB data for all sites, plus unli allnet texts. All valid for 7 days. Text GO90 to 8080 to register.
 REF#: FGDM2"
ham,G-897840 is your Google verification code.
ham,"oki po, nakasakay naman na po ako bus"
ham,"412034 is your authentication code. For your protection, do not share this code with anyone. yyAfcYn/qSW"
ham,"Hi, EMMANUEL! We have an EXCLUSIVE Personal Loan offer just for you! Borrow up to PHP 100,000 at 0% interest payable in 1 year. Apply on the CIMB Bank PH App now! T&C apply. Valid until 12/31/2021. Tap to learn more: bit.ly/3jzKyJf No SMS? Text STOP<space><Last 4 digits of acct num> to 09191611291"
ham,"slr kakagising ko lang ulit bili nalang kayooo, makakalabas naman kayo ata bayaran q mamaya"
ham,Your Go50 promo has expired. Get 2GB more for FREE with your Go50! Just register to Super Xclusive Go50 in the New GlobeOne app using your GCash or credit/debit card to get a total of 7GB data for all sites plus unli allnet texts for 3 days. Get it now via https://glbe.co/NewGlobeONE.
spam,"<name>, idownload at gamitin ang mybitglobal, magbukas at may regalo <link>"
ham,"Awesome! Thanks for loading! You now have your FREE 150MB for surfing valid for 2 days. To check the status of your freebie, text GHREW to 8080 for free. Watch out for more exciting offers from Globe! REF#: DGR1"
ham,"5% CASHBACK awaits when you buy a total of P500 Smart load on Maya.
 Unlimited redemptions just for you this month! Learn more: maya.ph/unli5for500 DTI156776"
ham,"You've used up your mobile internet from your promo. Go for more with Go+99 and enjoy 8GB data for all sites PLUS a freebie of your choice: 8GB choice of apps, GoSAVE, or GoHEALTH. Go+99 also comes with unli allnet texts, valid for 7 days.
 Access the New GlobeOne app at https://glbe.co/NewGlobeONE to register."
ham,"Your payment of P125.00 to Google has been successfully processed on 03-04-21 11:11:49 AM. Ref. No.
 312490553 Tap
 https://gcashapp.page.link/KbWv to check if you can enable GCredit, your always-ready credit line, as backup for your future online payments with GCash."
spam,Not only free bonus! Web: baraha-k.life True send bonus Baraha! Max benefits and events !b
ham,"You have been successfully loaded GOSURF50 P50.00. Trace No: 1124431627 04/30/2022 12:01PM.
 More Globe/TM txt promos? INFO to 8080 4 free"
ham,"Your Go50 for Students has ended. Go for more with Go+99 and get 8GB data for all sites, 8GB choice of apps and unli allnet texts for 7 days, for only P99. Just register to Go+ via https://glbe.co/NewGlobeONE or dial
 *143# and choose Go+."
ham,Your Unli Allnet Texts will expire in 60 minutes. Redeem your favorite GIGA promo with your GigaPoints in the GigaLife App! smrt.ph/GigaLifeApp
ham,"Wohoo, lucky you! You get FREE unli texts to all networks and unli calls to GP/TM, valid for 1 day when you load at least P45 before 11/14/2021. Share- A-Load not included. REF#: FGTU24"
ham,"Ate mhel, hindi siya sumasagot ><"
ham,"You have received PHP 1200.00 of GCash from RUPERTO ABULENCIA 09178223684 w/ MSG: Papila 2021-Orlee@ Lou@500; kids @10. Your new balance is PHP 5717.96. Ref. No.
 4003069078668."
ham,"You have paid P99.00 of GCash to purchase Giga Video 99 for 09280536997 on 10-11-21 09:45 PM.
 Your GCash balance is P216.63. Ref. No. 325588117."
ham,Dioore san na kayo?
ham,"You have paid P50.00 of GCash to purchase Go50 for 09568301222 on 07-30-22 01:03 PM. Your GCash
 balance is P7.28. Ref. No. 357149990."
ham,"Never run out of data. Always check your load balance and subscriptions with just a tap on the GigaLife App! Tap ""Check Usage"" on smrt.ph/GigaLifeApp NOW!"
ham,Your Shareable Data will expire in 60 minutes. Discover MORE promos on the GigaLife App and get MORE points to redeem FREE promos! smrt.ph/GigaLifeApp
ham,Si mommy na lang bukas. Pauwi na kami eh...
ham,Dto na ako km 3
ham,Your One-Time PIN (OTP) for LANDBANK Mobile Banking is 040864.
ham,"You're now registered to GoSURF50 with 2GB plus app freebies, valid till 2022-04-14, 07:49:58."
ham,Have you claimed your FREEBIE this week? Get it while it's there! Dial *123# NOW to score great deals!
ham,"NDRRMC: (9:50AM, 29Oct22) Orange
 Rainfall Warning sa Laguna, Rizal, at Batangas. Nagbabanta ang matinding pag-ulan, pagbaha at pagguho ng lupa"
spam,New PH Game Platform Online ! Let Play U Prefer Game AND WiN BIG CasH! Register Now FREE 178 BONUS. ONLY AT http://cod63.ga
ham,"Hi Davyne Gabriel, Shopee Delivery! 
A Shopee Xpress rider will be delivering your parcel today. As part of our delivery process, we will be collecting a photo as proof of delivery (POD). Please ready your payment for your COD order amounting to 147 PHP, or authorization letter or ID for non-COD order. 
If you have any questions, please call 02-8805200. Thank you!"
ham,You have paid P99.00 of GCash to purchase Giga Video 99 for 09280536997 on 11-19-21 09:58 AM. Your GCash balance is P690.63. Ref. No. 352923976.
ham,You don't have enough balance to complete your payment of P250.00 to Google. Use GCredit or Cash-In to increase your balance and try again.
